,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,NA_Sales_Ratio,EU_Sales_Ratio,JP_Sales_Ratio,Other_Sales_Ratio
1652,1672,Just Dance 2016,Wii,2015.0,Misc,Desconocido,0.52,0.59,0.0,0.1,1.2,0.43333333333333335,0.49166666666666664,0.0,0.08333333333333334
1653,1673,Disney Sing It,Wii,2008.0,Misc,Desconocido,0.77,0.31,0.0,0.12,1.2,0.6416666666666667,0.25833333333333336,0.0,0.1
1654,1674,Battlefield: Hardline,XOne,2015.0,Shooter,Desconocido,0.72,0.37,0.01,0.11,1.2,0.6,0.30833333333333335,0.008333333333333333,0.09166666666666667
1655,1675,WWE 2K16,PS4,2015.0,Sports,Desconocido,0.41,0.6,0.0,0.19,1.2,0.3416666666666667,0.5,0.0,0.15833333333333335
1656,1676,Dragon Ball Z: La Legende Saien,SNES,1993.0,Fighting,Desconocido,0.0,0.0,1.2,0.0,1.2,0.0,0.0,1.0,0.0
1657,1677,TwinBee,NES,1986.0,Shooter,Desconocido,0.0,0.0,1.2,0.0,1.2,0.0,0.0,1.0,0.0
1658,1678,Ganbare Goemon! Karakuri Douchuu,NES,1986.0,Platform,Desconocido,0.0,0.0,1.2,0.0,1.2,0.0,0.0,1.0,0.0
1659,1679,NFL 2K,DC,1999.0,Sports,Desconocido,1.12,0.05,0.0,0.02,1.2,0.9333333333333335,0.04166666666666667,0.0,0.016666666666666666
1660,1680,SolarStriker,GB,1989.0,Shooter,Desconocido,0.4,0.39,0.36,0.04,1.2,0.33333333333333337,0.325,0.3,0.03333333333333333
1661,1681,Enter the Matrix,XB,2003.0,Action,Desconocido,0.72,0.43,0.01,0.04,1.2,0.6,0.35833333333333334,0.008333333333333333,0.03333333333333333
1662,1682,NHL 2002,PS2,2001.0,Sports,Desconocido,0.59,0.46,0.0,0.15,1.2,0.49166666666666664,0.38333333333333336,0.0,0.125
1663,1683,Mario vs. Donkey Kong 2: March of the Minis,DS,2006.0,Puzzle,Desconocido,0.74,0.03,0.36,0.07,1.2,0.6166666666666667,0.025,0.3,0.05833333333333334
1664,1684,PokéPark Wii: Pikachu's Adventure,Wii,2009.0,Adventure,Desconocido,0.55,0.17,0.42,0.06,1.2,0.45833333333333337,0.1416666666666667,0.35,0.05
1665,1685,One Piece: Pirate Warriors,PS3,2012.0,Action,Desconocido,0.01,0.24,0.86,0.09,1.2,0.008333333333333333,0.2,0.7166666666666667,0.075
1666,1686,WWE 2K14,PS3,2013.0,Sports,Desconocido,0.49,0.49,0.0,0.21,1.19,0.411764705882353,0.411764705882353,0.0,0.17647058823529413
1667,1687,Metal Gear Solid: Portable Ops,PSP,2006.0,Action,Desconocido,0.38,0.35,0.38,0.09,1.19,0.319327731092437,0.29411764705882354,0.319327731092437,0.07563025210084033
1668,1688,Nuclear Strike,PS,1997.0,Simulation,Desconocido,0.66,0.45,0.0,0.08,1.19,0.5546218487394958,0.3781512605042017,0.0,0.06722689075630253
1669,1689,Captain Toad: Treasure Tracker,WiiU,2014.0,Puzzle,Desconocido,0.56,0.36,0.19,0.09,1.19,0.4705882352941177,0.3025210084033613,0.1596638655462185,0.07563025210084033
1670,1690,WWE SmackDown vs Raw 2008,PSP,2007.0,Fighting,Desconocido,0.45,0.47,0.0,0.28,1.19,0.3781512605042017,0.3949579831932773,0.0,0.23529411764705885
1671,1691,The Simpsons: Road Rage,GBA,2003.0,Racing,Desconocido,0.86,0.32,0.0,0.02,1.19,0.7226890756302521,0.26890756302521013,0.0,0.016806722689075633
1672,1692,Pro Evolution Soccer 2008,Wii,2008.0,Sports,Desconocido,0.09,0.84,0.11,0.15,1.19,0.07563025210084033,0.7058823529411765,0.09243697478991597,0.12605042016806722
1673,1693,SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,2002.0,Platform,Desconocido,0.92,0.23,0.0,0.04,1.19,0.773109243697479,0.19327731092436976,0.0,0.033613445378151266
1674,1694,Mario & Sonic at the London 2012 Olympic Games,3DS,2012.0,Sports,Desconocido,0.18,0.64,0.27,0.1,1.19,0.15126050420168066,0.5378151260504203,0.22689075630252103,0.08403361344537816
1675,1695,Scarface: The World is Yours,PS2,2006.0,Action,Desconocido,0.99,0.04,0.0,0.16,1.19,0.8319327731092437,0.033613445378151266,0.0,0.13445378151260506
1676,1696,Kobe Bryant in NBA Courtside,N64,1998.0,Sports,Desconocido,1.02,0.13,0.04,0.01,1.19,0.8571428571428572,0.10924369747899161,0.033613445378151266,0.008403361344537816
1677,1697,Disney's Chip 'n Dale: Rescue Rangers,NES,1990.0,Platform,Desconocido,0.68,0.14,0.35,0.02,1.19,0.5714285714285715,0.11764705882352942,0.29411764705882354,0.016806722689075633
1678,1698,The Dukes of Hazzard: Racing for Home,PS,1999.0,Racing,Desconocido,0.99,0.16,0.0,0.04,1.19,0.8319327731092437,0.13445378151260506,0.0,0.033613445378151266
1679,1700,FIFA 14,XOne,2013.0,Sports,Desconocido,0.41,0.66,0.0,0.12,1.19,0.3445378151260504,0.5546218487394958,0.0,0.10084033613445378
1680,1701,Spider-Man: The Movie,GC,2002.0,Action,Desconocido,0.86,0.27,0.01,0.04,1.19,0.7226890756302521,0.22689075630252103,0.008403361344537816,0.033613445378151266
1681,1702,Final Fantasy I & II: Dawn of Souls,GBA,2004.0,Role-Playing,Desconocido,0.64,0.24,0.29,0.02,1.19,0.5378151260504203,0.20168067226890757,0.24369747899159663,0.016806722689075633
1682,1703,NBA 2K17,PS4,2016.0,Sports,Desconocido,0.83,0.14,0.0,0.22,1.19,0.6974789915966386,0.11764705882352942,0.0,0.18487394957983194
1683,1704,Pokemon Super Mystery Dungeon,3DS,2015.0,Role-Playing,Desconocido,0.46,0.31,0.33,0.08,1.19,0.3865546218487395,0.2605042016806723,0.2773109243697479,0.06722689075630253
1684,1705,Just Dance 4,X360,2012.0,Misc,Desconocido,0.9,0.2,0.0,0.08,1.19,0.7563025210084034,0.16806722689075632,0.0,0.06722689075630253
1685,1706,Metal Gear Solid VR Missions,PS,1999.0,Adventure,Desconocido,0.66,0.45,0.0,0.08,1.18,0.5593220338983051,0.38135593220338987,0.0,0.06779661016949153
1686,1707,Pole Position,2600,1982.0,Racing,Desconocido,1.1,0.07,0.0,0.01,1.18,0.9322033898305085,0.05932203389830509,0.0,0.00847457627118644
1687,1708,Resident Evil: Operation Raccoon City,PS3,2012.0,Action,Desconocido,0.48,0.25,0.36,0.1,1.18,0.4067796610169492,0.21186440677966104,0.3050847457627119,0.08474576271186442
1688,1709,LEGO Indiana Jones: The Original Adventures,PSP,2008.0,Action,Desconocido,0.4,0.49,0.0,0.29,1.18,0.33898305084745767,0.4152542372881356,0.0,0.24576271186440676
1689,1710,Pro Yakyuu Family Stadium '88,NES,1988.0,Sports,Desconocido,0.1,0.0,1.08,0.0,1.18,0.08474576271186442,0.0,0.9152542372881357,0.0
1690,1711,Shenmue,DC,1999.0,Adventure,Desconocido,0.52,0.24,0.38,0.04,1.18,0.44067796610169496,0.2033898305084746,0.3220338983050848,0.03389830508474576
1691,1712,Mario Tennis,GB,2000.0,Sports,Desconocido,0.5,0.18,0.44,0.06,1.18,0.42372881355932207,0.15254237288135594,0.3728813559322034,0.05084745762711865
1692,1713,Tony Hawk's Pro Skater 2,GBA,2001.0,Sports,Desconocido,0.85,0.31,0.0,0.02,1.18,0.7203389830508474,0.2627118644067797,0.0,0.01694915254237288
1693,1714,WWE '12,PS3,2011.0,Fighting,Desconocido,0.53,0.46,0.02,0.17,1.18,0.4491525423728814,0.3898305084745763,0.01694915254237288,0.1440677966101695
1694,1715,WWE SmackDown vs. Raw 2010,PS3,2009.0,Fighting,Desconocido,0.48,0.49,0.01,0.2,1.18,0.4067796610169492,0.4152542372881356,0.00847457627118644,0.16949152542372883
1695,1716,Plants vs. Zombies,DS,2011.0,Strategy,Desconocido,0.95,0.15,0.0,0.08,1.18,0.8050847457627118,0.1271186440677966,0.0,0.06779661016949153
1696,1717,Sonic the Hedgehog,PS3,2006.0,Platform,Desconocido,0.41,0.07,0.04,0.66,1.18,0.3474576271186441,0.05932203389830509,0.03389830508474576,0.5593220338983051
1697,1718,Super Ghouls 'n Ghosts,SNES,1991.0,Platform,Desconocido,0.5,0.14,0.52,0.02,1.18,0.42372881355932207,0.11864406779661019,0.44067796610169496,0.01694915254237288
1698,1719,Spore,PC,2008.0,Strategy,Desconocido,0.03,1.06,0.0,0.09,1.17,0.02564102564102564,0.9059829059829061,0.0,0.07692307692307693
1699,1720,Soviet Strike,PS,1996.0,Simulation,Desconocido,0.65,0.44,0.0,0.08,1.17,0.5555555555555556,0.3760683760683761,0.0,0.06837606837606838
1700,1721,Your Shape: Fitness Evolved 2012,X360,2011.0,Sports,Desconocido,0.7,0.37,0.0,0.1,1.17,0.5982905982905983,0.3162393162393163,0.0,0.08547008547008549
1701,1722,Army of Two,PS3,2008.0,Shooter,Desconocido,0.74,0.26,0.02,0.15,1.17,0.6324786324786326,0.22222222222222224,0.017094017094017096,0.12820512820512822
1702,1723,Gun,PS2,2005.0,Shooter,Desconocido,0.98,0.04,0.0,0.16,1.17,0.8376068376068376,0.03418803418803419,0.0,0.13675213675213677
1703,1724,Ty the Tasmanian Tiger,PS2,2002.0,Platform,Desconocido,0.57,0.45,0.0,0.15,1.17,0.48717948717948717,0.38461538461538464,0.0,0.12820512820512822
1704,1725,Wario Land: Shake It!,Wii,2008.0,Platform,Desconocido,0.6,0.31,0.15,0.11,1.17,0.5128205128205129,0.26495726495726496,0.12820512820512822,0.09401709401709403
1705,1726,Sonic Rush Adventure,DS,2007.0,Platform,Desconocido,0.54,0.49,0.01,0.12,1.17,0.4615384615384616,0.4188034188034188,0.008547008547008548,0.10256410256410256
1706,1727,Medal of Honor: Warfighter,X360,2012.0,Action,Desconocido,0.58,0.47,0.01,0.1,1.17,0.49572649572649574,0.4017094017094017,0.008547008547008548,0.08547008547008549
1707,1728,Mega Man 3,NES,1990.0,Platform,Desconocido,0.68,0.1,0.39,0.0,1.17,0.5811965811965812,0.08547008547008549,0.33333333333333337,0.0
1708,1729,Ratchet & Clank (2016),PS4,2016.0,Platform,Desconocido,0.32,0.64,0.04,0.18,1.17,0.27350427350427353,0.5470085470085471,0.03418803418803419,0.15384615384615385
1709,1730,Mission: Impossible,N64,1997.0,Action,Desconocido,0.74,0.38,0.02,0.03,1.17,0.6324786324786326,0.3247863247863248,0.017094017094017096,0.02564102564102564
1710,1731,Romancing SaGa 2,SNES,1993.0,Role-Playing,Desconocido,0.0,0.0,1.17,0.0,1.17,0.0,0.0,1.0,0.0
1711,1732,Cabela's Dangerous Hunts,PS2,2003.0,Sports,Desconocido,0.57,0.45,0.0,0.15,1.17,0.48717948717948717,0.38461538461538464,0.0,0.12820512820512822
1712,1733,Cool Boarders 4,PS,1998.0,Sports,Desconocido,0.65,0.44,0.0,0.08,1.17,0.5555555555555556,0.3760683760683761,0.0,0.06837606837606838
1713,1734,Rage Racer,PS,1996.0,Racing,Desconocido,0.16,0.11,0.83,0.08,1.17,0.13675213675213677,0.09401709401709403,0.7094017094017094,0.06837606837606838
1714,1735,Medal of Honor: Rising Sun,XB,2003.0,Shooter,Desconocido,0.76,0.36,0.0,0.05,1.17,0.6495726495726496,0.3076923076923077,0.0,0.04273504273504274
1715,1736,Football Manager 2013,PC,2012.0,Sports,Desconocido,0.0,0.95,0.0,0.22,1.17,0.0,0.811965811965812,0.0,0.18803418803418806
1716,1737,Destruction Derby 2,PS,1996.0,Racing,Desconocido,0.65,0.44,0.0,0.08,1.17,0.5555555555555556,0.3760683760683761,0.0,0.06837606837606838
1717,1738,Mirror's Edge,X360,2008.0,Platform,Desconocido,0.51,0.51,0.01,0.13,1.17,0.43589743589743596,0.43589743589743596,0.008547008547008548,0.11111111111111112
1718,1739,Destiny: The Taken King,XOne,2015.0,Shooter,Desconocido,0.82,0.23,0.0,0.11,1.17,0.7008547008547008,0.1965811965811966,0.0,0.09401709401709403
1719,1740,Mario vs. Donkey Kong,GBA,2004.0,Puzzle,Desconocido,0.68,0.25,0.21,0.02,1.17,0.5811965811965812,0.2136752136752137,0.1794871794871795,0.017094017094017096
1720,1741,007: Quantum of Solace,PS3,2008.0,Action,Desconocido,0.43,0.52,0.02,0.2,1.16,0.3706896551724138,0.4482758620689656,0.01724137931034483,0.1724137931034483
1721,1742,EA Sports Active: More Workouts,Wii,2009.0,Sports,Desconocido,0.78,0.28,0.0,0.1,1.16,0.6724137931034484,0.24137931034482762,0.0,0.08620689655172414
1722,1743,Fallout: New Vegas,PC,2010.0,Role-Playing,Desconocido,0.58,0.45,0.0,0.14,1.16,0.5,0.3879310344827587,0.0,0.12068965517241381
1723,1744,Need for Speed: Most Wanted,PSV,2012.0,Racing,Desconocido,0.38,0.52,0.01,0.25,1.16,0.32758620689655177,0.4482758620689656,0.008620689655172415,0.21551724137931036
1724,1745,Final Fantasy Tactics: The War of the Lions,PSP,2007.0,Role-Playing,Desconocido,0.45,0.25,0.3,0.16,1.16,0.3879310344827587,0.21551724137931036,0.25862068965517243,0.13793103448275865
1725,1746,Midnight Club 3: DUB Edition Remix,PS2,2006.0,Racing,Desconocido,0.97,0.04,0.0,0.16,1.16,0.8362068965517242,0.03448275862068966,0.0,0.13793103448275865
1726,1747,Tom Clancy's Ghost Recon: Jungle Storm,PS2,2004.0,Shooter,Desconocido,0.57,0.44,0.0,0.15,1.16,0.49137931034482757,0.37931034482758624,0.0,0.12931034482758622
1727,1748,SingStar,PS3,2007.0,Misc,Desconocido,0.45,0.58,0.0,0.13,1.16,0.3879310344827587,0.5,0.0,0.1120689655172414
1728,1749,Bushido Blade,PS,1997.0,Fighting,Desconocido,0.39,0.27,0.43,0.08,1.16,0.3362068965517242,0.2327586206896552,0.3706896551724138,0.06896551724137932
1729,1750,LEGO Star Wars III: The Clone Wars,DS,2011.0,Action,Desconocido,0.66,0.39,0.0,0.11,1.16,0.5689655172413793,0.3362068965517242,0.0,0.09482758620689656
1730,1751,NASCAR Thunder 2002,PS2,2001.0,Racing,Desconocido,0.57,0.44,0.0,0.15,1.16,0.49137931034482757,0.37931034482758624,0.0,0.12931034482758622
1731,1752,Jet Force Gemini,N64,1999.0,Shooter,Desconocido,0.78,0.28,0.07,0.02,1.16,0.6724137931034484,0.24137931034482762,0.060344827586206906,0.01724137931034483
1732,1753,Mega Man X,SNES,1993.0,Platform,Desconocido,0.57,0.08,0.5,0.01,1.16,0.49137931034482757,0.06896551724137932,0.4310344827586207,0.008620689655172415
1733,1754,Yu-Gi-Oh! The Sacred Cards (American and Others sales),GBA,2002.0,Role-Playing,Desconocido,0.84,0.27,0.0,0.05,1.16,0.7241379310344828,0.2327586206896552,0.0,0.04310344827586207
1734,1755,Sega Rally Championship,SAT,1995.0,Racing,Desconocido,0.21,0.16,0.77,0.02,1.16,0.1810344827586207,0.13793103448275865,0.6637931034482759,0.01724137931034483
1735,1756,Test Drive: Off Road,PS,1997.0,Racing,Desconocido,0.65,0.44,0.0,0.08,1.16,0.560344827586207,0.37931034482758624,0.0,0.06896551724137932
1736,1757,Medal of Honor Heroes 2,PSP,2007.0,Shooter,Desconocido,0.5,0.39,0.02,0.25,1.16,0.4310344827586207,0.3362068965517242,0.01724137931034483,0.21551724137931036
1737,1758,Sniper: Ghost Warrior,X360,2010.0,Shooter,Desconocido,0.54,0.51,0.0,0.12,1.16,0.4655172413793104,0.43965517241379315,0.0,0.10344827586206896
1738,1759,Rocksmith,PS3,2011.0,Misc,Desconocido,0.52,0.38,0.09,0.17,1.16,0.4482758620689656,0.32758620689655177,0.07758620689655173,0.14655172413793105
1739,1760,LEGO Star Wars: The Video Game,XB,2005.0,Action,Desconocido,0.83,0.28,0.0,0.05,1.16,0.7155172413793104,0.24137931034482762,0.0,0.04310344827586207
1740,1761,FIFA Soccer 10,PSP,2009.0,Sports,Desconocido,0.15,0.68,0.01,0.32,1.16,0.12931034482758622,0.5862068965517242,0.008620689655172415,0.2758620689655173
1741,1762,Plants vs. Zombies: Garden Warfare,X360,2014.0,Shooter,Desconocido,0.51,0.54,0.0,0.1,1.16,0.43965517241379315,0.4655172413793104,0.0,0.08620689655172414
1742,1763,Worldwide Soccer Manager 2009,PC,2008.0,Simulation,Desconocido,0.0,1.14,0.0,0.01,1.15,0.0,0.9913043478260869,0.0,0.008695652173913044
1743,1764,Omerta: City of Gangsters,PS3,2011.0,Simulation,Desconocido,0.52,0.46,0.0,0.17,1.15,0.4521739130434783,0.4,0.0,0.14782608695652177
1744,1765,Gauntlet: Dark Legacy,PS2,2001.0,Action,Desconocido,0.56,0.44,0.0,0.15,1.15,0.4869565217391305,0.3826086956521739,0.0,0.13043478260869565
1745,1766,Ninja Gaiden Sigma,PS3,2007.0,Action,Desconocido,0.57,0.33,0.09,0.16,1.15,0.49565217391304345,0.28695652173913044,0.0782608695652174,0.1391304347826087
1746,1767,Bad Boys: Miami Takedown,PS2,2004.0,Shooter,Desconocido,0.56,0.44,0.0,0.15,1.15,0.4869565217391305,0.3826086956521739,0.0,0.13043478260869565
1747,1768,Kaboom!,2600,1980.0,Misc,Desconocido,1.07,0.07,0.0,0.01,1.15,0.9304347826086958,0.060869565217391314,0.0,0.008695652173913044
1748,1769,Red Dead Redemption: Undead Nightmare,PS3,2010.0,Action,Desconocido,0.44,0.46,0.06,0.18,1.15,0.3826086956521739,0.4,0.052173913043478265,0.1565217391304348
1749,1770,Sonic and the Black Knight,Wii,2009.0,Platform,Desconocido,0.69,0.35,0.01,0.11,1.15,0.6,0.30434782608695654,0.008695652173913044,0.09565217391304348
1750,1771,Call of Duty 4: Modern Warfare,PC,2007.0,Shooter,Desconocido,0.0,1.12,0.0,0.03,1.15,0.0,0.973913043478261,0.0,0.026086956521739132
1751,1772,Qix,GB,1990.0,Puzzle,Desconocido,0.51,0.2,0.41,0.03,1.15,0.44347826086956527,0.1739130434782609,0.3565217391304348,0.026086956521739132
1752,1773,Derby Stallion III,SNES,1995.0,Sports,Desconocido,0.0,0.0,1.15,0.0,1.15,0.0,0.0,1.0,0.0
1753,1774,Doraemon,NES,1986.0,Action,Desconocido,0.0,0.0,1.15,0.0,1.15,0.0,0.0,1.0,0.0
1754,1775,High School Musical 2: Work This Out!,DS,2008.0,Misc,Desconocido,0.5,0.52,0.0,0.13,1.15,0.4347826086956522,0.4521739130434783,0.0,0.11304347826086958
1755,1776,Ratchet & Clank: All 4 One,PS3,2011.0,Platform,Desconocido,0.75,0.22,0.05,0.12,1.15,0.6521739130434783,0.19130434782608696,0.04347826086956522,0.10434782608695653
1756,1777,Donkey Konga,GC,2003.0,Misc,Desconocido,0.5,0.16,0.46,0.03,1.15,0.4347826086956522,0.1391304347826087,0.4,0.026086956521739132
1757,1778,Fight Night Champion,PS3,2011.0,Fighting,Desconocido,0.45,0.51,0.0,0.19,1.15,0.391304347826087,0.44347826086956527,0.0,0.16521739130434784
1758,1779,Dragon Quest I & II,SNES,1993.0,Role-Playing,Desconocido,0.0,0.0,1.15,0.0,1.15,0.0,0.0,1.0,0.0
1759,1780,Tak and the Power of Juju,PS2,2003.0,Platform,Desconocido,0.56,0.44,0.0,0.15,1.15,0.4869565217391305,0.3826086956521739,0.0,0.13043478260869565
1760,1781,Asteroids,PS,1998.0,Shooter,Desconocido,0.64,0.43,0.0,0.07,1.15,0.5565217391304348,0.3739130434782609,0.0,0.060869565217391314
1761,1782,Puyo Puyo Sun Ketteiban,PS,1997.0,Puzzle,Desconocido,0.0,0.0,1.07,0.07,1.15,0.0,0.0,0.9304347826086958,0.060869565217391314
1762,1783,Pokemon Rumble Blast,3DS,2011.0,Action,Desconocido,0.47,0.26,0.35,0.07,1.14,0.41228070175438597,0.2280701754385965,0.30701754385964913,0.061403508771929835
1763,1784,Action Bass,PS,2000.0,Action,Desconocido,0.64,0.43,0.0,0.07,1.14,0.5614035087719299,0.37719298245614036,0.0,0.061403508771929835
1764,1785,Tenchu: Wrath of Heaven,PS2,2003.0,Action,Desconocido,0.44,0.34,0.25,0.11,1.14,0.3859649122807018,0.29824561403508776,0.2192982456140351,0.09649122807017545
1765,1786,Shadow of the Colossus,PS2,2005.0,Action,Desconocido,0.78,0.03,0.2,0.13,1.14,0.6842105263157896,0.026315789473684213,0.1754385964912281,0.11403508771929825
1766,1787,Brave Fencer Musashi,PS,1998.0,Role-Playing,Desconocido,0.25,0.17,0.65,0.07,1.14,0.2192982456140351,0.14912280701754388,0.5701754385964913,0.061403508771929835
1767,1788,Hot Shots Golf: Out of Bounds,PS3,2007.0,Sports,Desconocido,0.31,0.03,0.76,0.04,1.14,0.2719298245614035,0.026315789473684213,0.6666666666666667,0.03508771929824562
1768,1789,Dance Dance Revolution Extreme 2,PS2,2005.0,Simulation,Desconocido,0.95,0.04,0.0,0.16,1.14,0.8333333333333334,0.03508771929824562,0.0,0.14035087719298248
1769,1790,Mirror's Edge,PS3,2008.0,Platform,Desconocido,0.31,0.59,0.02,0.22,1.14,0.2719298245614035,0.5175438596491229,0.01754385964912281,0.1929824561403509
1770,1791,Rabbids Go Home,Wii,2009.0,Platform,Desconocido,0.26,0.75,0.0,0.14,1.14,0.2280701754385965,0.6578947368421053,0.0,0.12280701754385967
1771,1792,South Park,N64,1998.0,Shooter,Desconocido,0.9,0.23,0.0,0.02,1.14,0.7894736842105264,0.2017543859649123,0.0,0.01754385964912281
1772,1793,Commando,NES,1986.0,Action,Desconocido,0.71,0.16,0.25,0.03,1.14,0.6228070175438597,0.14035087719298248,0.2192982456140351,0.026315789473684213
1773,1794,Pilotwings,SNES,1990.0,Simulation,Desconocido,0.46,0.17,0.48,0.02,1.14,0.4035087719298246,0.14912280701754388,0.4210526315789474,0.01754385964912281
1774,1795,Resident Evil - Code: Veronica,DC,2000.0,Action,Desconocido,0.41,0.23,0.47,0.03,1.14,0.35964912280701755,0.2017543859649123,0.41228070175438597,0.026315789473684213
1775,1796,Super R.C. Pro-Am,GB,1991.0,Racing,Desconocido,0.58,0.37,0.15,0.04,1.14,0.5087719298245614,0.32456140350877194,0.13157894736842105,0.03508771929824562
1776,1797,The Lord of the Rings: The Return of the King,XB,2003.0,Action,Desconocido,0.71,0.38,0.0,0.05,1.14,0.6228070175438597,0.33333333333333337,0.0,0.04385964912280702
1777,1798,LEGO Star Wars: The Video Game,GBA,2005.0,Action,Desconocido,0.82,0.3,0.0,0.02,1.14,0.7192982456140351,0.2631578947368421,0.0,0.01754385964912281
1778,1799,Royal Palace of White Sword and The City of Gentiles,PS2,2005.0,Role-Playing,Desconocido,0.0,0.51,0.0,0.62,1.14,0.0,0.44736842105263164,0.0,0.543859649122807
1779,1800,Guitar Hero 5,X360,2009.0,Misc,Desconocido,0.65,0.37,0.0,0.11,1.14,0.5701754385964913,0.32456140350877194,0.0,0.09649122807017545
1780,1801,Mobile Suit Gundam: Federation vs. Zeon,PS2,2001.0,Simulation,Desconocido,0.12,0.1,0.88,0.03,1.14,0.10526315789473685,0.08771929824561404,0.7719298245614036,0.026315789473684213
1781,1802,Need for Speed Underground 2,GC,2004.0,Racing,Desconocido,0.7,0.39,0.01,0.03,1.14,0.6140350877192983,0.3421052631578948,0.008771929824561405,0.026315789473684213
1782,1803,MechAssault,XB,2002.0,Simulation,Desconocido,1.01,0.1,0.0,0.03,1.13,0.8938053097345133,0.08849557522123895,0.0,0.026548672566371685
1783,1804,ModNation Racers,PS3,2010.0,Racing,Desconocido,0.5,0.41,0.06,0.16,1.13,0.4424778761061947,0.36283185840707965,0.05309734513274337,0.14159292035398233
1784,1805,LEGO Star Wars III: The Clone Wars,3DS,2011.0,Action,Desconocido,0.61,0.43,0.0,0.09,1.13,0.5398230088495576,0.38053097345132747,0.0,0.07964601769911504
1785,1806,Derby Stallion 99,PS,1999.0,Sports,Desconocido,0.0,0.0,1.06,0.07,1.13,0.0,0.0,0.9380530973451329,0.06194690265486727
1786,1807,Cars,GBA,2006.0,Racing,Desconocido,0.81,0.3,0.0,0.02,1.13,0.7168141592920355,0.26548672566371684,0.0,0.01769911504424779
1787,1808,Fantasy Life,3DS,2012.0,Role-Playing,Desconocido,0.33,0.37,0.37,0.06,1.13,0.29203539823008856,0.3274336283185841,0.3274336283185841,0.05309734513274337
1788,1809,Tom Clancy's Rainbow Six 3: Black Arrow,XB,2004.0,Shooter,Desconocido,0.99,0.12,0.0,0.02,1.13,0.8761061946902655,0.10619469026548674,0.0,0.01769911504424779
1789,1810,WWE 2K15,PS4,2014.0,Sports,Desconocido,0.38,0.56,0.0,0.19,1.13,0.336283185840708,0.49557522123893816,0.0,0.168141592920354
1790,1811,Donkey Kong,NES,1983.0,Platform,Desconocido,0.23,0.05,0.84,0.01,1.13,0.2035398230088496,0.044247787610619475,0.7433628318584071,0.008849557522123895
1791,1812,Jampack Winter '98,PS,1998.0,Misc,Desconocido,0.63,0.43,0.0,0.07,1.13,0.5575221238938054,0.38053097345132747,0.0,0.06194690265486727
1792,1813,WWE 2K14,X360,2013.0,Sports,Desconocido,0.64,0.39,0.0,0.1,1.13,0.5663716814159293,0.3451327433628319,0.0,0.08849557522123895
1793,1814,Alien: Isolation,PS4,2014.0,Shooter,Desconocido,0.34,0.56,0.04,0.19,1.13,0.3008849557522124,0.49557522123893816,0.03539823008849558,0.168141592920354
1794,1815,Yakuza 3,PS3,2009.0,Action,Desconocido,0.21,0.21,0.62,0.08,1.13,0.18584070796460178,0.18584070796460178,0.5486725663716815,0.07079646017699116
1795,1816,Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),GBA,2005.0,Role-Playing,Desconocido,0.81,0.3,0.0,0.02,1.13,0.7168141592920355,0.26548672566371684,0.0,0.01769911504424779
1796,1817,The Beatles: Rock Band,PS3,2009.0,Misc,Desconocido,0.67,0.3,0.0,0.15,1.13,0.592920353982301,0.26548672566371684,0.0,0.13274336283185842
1797,1818,Dragon Age II,X360,2011.0,Action,Desconocido,0.72,0.3,0.01,0.09,1.12,0.6428571428571428,0.26785714285714285,0.008928571428571428,0.08035714285714285
1798,1819,Moon Patrol,2600,1982.0,Shooter,Desconocido,1.05,0.06,0.0,0.01,1.12,0.9375,0.05357142857142856,0.0,0.008928571428571428
1799,1820,Supercar Street Challenge,PS2,2001.0,Racing,Desconocido,0.55,0.43,0.0,0.14,1.12,0.49107142857142855,0.3839285714285714,0.0,0.125
1800,1821,Pilotwings 64,N64,1996.0,Simulation,Desconocido,0.56,0.24,0.3,0.02,1.12,0.5,0.21428571428571425,0.26785714285714285,0.017857142857142856
1801,1822,Crackdown 2,X360,2010.0,Shooter,Desconocido,0.63,0.37,0.02,0.1,1.12,0.5625,0.33035714285714285,0.017857142857142856,0.08928571428571429
1802,1823,Final Fantasy XIV: A Realm Reborn,PS3,2013.0,Role-Playing,Desconocido,0.36,0.33,0.28,0.15,1.12,0.3214285714285714,0.29464285714285715,0.25,0.13392857142857142
1803,1824,Castlevania: Lords of Shadow,PS3,2010.0,Action,Desconocido,0.5,0.37,0.1,0.16,1.12,0.4464285714285714,0.33035714285714285,0.08928571428571429,0.14285714285714285
1804,1825,Rocksmith,X360,2011.0,Misc,Desconocido,0.84,0.2,0.01,0.08,1.12,0.7499999999999999,0.17857142857142858,0.008928571428571428,0.07142857142857142
1805,1826,Disney Infinity 2.0: Marvel Super Heroes,X360,2014.0,Action,Desconocido,0.62,0.4,0.0,0.1,1.12,0.5535714285714285,0.35714285714285715,0.0,0.08928571428571429
1806,1827,SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,2005.0,Shooter,Desconocido,1.03,0.0,0.01,0.08,1.12,0.9196428571428571,0.0,0.008928571428571428,0.07142857142857142
